subjectid	activity	measurementtype	tbodyaccmeanx	tbodyaccmeany	tbodyaccmeanz	tbodyaccstdx	tbodyaccstdy	tbodyaccstdz	tgravityaccmeanx	tgravityaccmeany	tgravityaccmeanz	tgravityaccstdx	tgravityaccstdy	tgravityaccstdz	tbodyaccjerkmeanx	tbodyaccjerkmeany	tbodyaccjerkmeanz	tbodyaccjerkstdx	tbodyaccjerkstdy	tbodyaccjerkstdz	tbodygyromeanx	tbodygyromeany	tbodygyromeanz	tbodygyrostdx	tbodygyrostdy	tbodygyrostdz	tbodygyrojerkmeanx	tbodygyrojerkmeany	tbodygyrojerkmeanz	tbodygyrojerkstdx	tbodygyrojerkstdy	tbodygyrojerkstdz	tbodyaccmagmean	tbodyaccmagstd	tgravityaccmagmean	tgravityaccmagstd	tbodyaccjerkmagmean	tbodyaccjerkmagstd	tbodygyromagmean	tbodygyromagstd	tbodygyrojerkmagmean	tbodygyrojerkmagstd	fbodyaccmeanx	fbodyaccmeany	fbodyaccmeanz	fbodyaccstdx	fbodyaccstdy	fbodyaccstdz	fbodyaccmeanfreqx	fbodyaccmeanfreqy	fbodyaccmeanfreqz	fbodyaccjerkmeanx	fbodyaccjerkmeany	fbodyaccjerkmeanz	fbodyaccjerkstdx	fbodyaccjerkstdy	fbodyaccjerkstdz	fbodyaccjerkmeanfreqx	fbodyaccjerkmeanfreqy	fbodyaccjerkmeanfreqz	fbodygyromeanx	fbodygyromeany	fbodygyromeanz	fbodygyrostdx	fbodygyrostdy	fbodygyrostdz	fbodygyromeanfreqx	fbodygyromeanfreqy	fbodygyromeanfreqz	fbodyaccmagmean	fbodyaccmagstd	fbodyaccmagmeanfreq	fbodybodyaccjerkmagmean	fbodybodyaccjerkmagstd	fbodybodyaccjerkmagmeanfreq	fbodybodygyromagmean	fbodybodygyromagstd	fbodybodygyromagmeanfreq	fbodybodygyrojerkmagmean	fbodybodygyrojerkmagstd	fbodybodygyrojerkmagmeanfreq	angletbodyaccmeangravity	angletbodyaccjerkmeangravitymean	angletbodygyromeangravitymean	angletbodygyrojerkmeangravitymean	anglexgravitymean	angleygravitymean	anglezgravitymean	N
1	LAYING	train	0.26154616446	-0.010490596714	-0.09446046034	-0.548590063994	-0.442804167574	-0.557045023294	0.6720114932	-0.017599700708	0.1116621474984	-0.9625553858	-0.93326023826	-0.926395008	0.0885250832048	-0.011768882634	-0.033678045918	-0.605865242675	-0.56601929942	-0.71061055024	-0.014541052958	-0.07204618146	0.062667438376	-0.67779470394	-0.62319769336	-0.59633374646	-0.08341472845	-0.034109224336	-0.06545960506	-0.65553164518	-0.71706580192	-0.6704081009628	-0.48344446958	-0.51238849634	-0.48344446958	-0.51238849634	-0.60912980322	-0.5759756293	-0.541727335894	-0.59649796692	-0.69769966504	-0.69691019032	-0.57264187448	-0.480173957118	-0.615392558936	-0.54045329688	-0.4605922718	-0.563590859326	-0.28576195874	0.00125431024	0.0446492639	-0.62856597648	-0.59178796184	-0.68738733756	-0.6179987529	-0.568095379616	-0.7329974218	-0.10752866252	-0.20576675832	-0.119698734302	-0.61118781668	-0.64055945116	-0.58312200418	-0.70097735682	-0.6196193343	-0.6407390501	-0.083329107686	-0.1997239343502	-0.02720752088	-0.51850227436	-0.58800974124	0.0367565851	-0.5725011755964	-0.58423778854	0.134290128888	-0.6279081111	-0.64754296292	-0.004488399294	-0.70434608866	-0.70930460158	0.128630794861	0.0364847639	-0.02180050146	-0.10426861208	-0.02844362939752	-0.523995405	0.08781691612	-0.074603861593	50
1	SITTING	train	0.256496507574468	-0.011970685152766	-0.108607285042553	-0.637894333255319	-0.57568492296383	-0.574613616680851	0.63642144	0.0335567312978723	0.0192020123319149	-0.941818177553192	-0.934673913617021	-0.91558260106383	0.0819911596595745	-0.000262501362340427	-0.0209479798619149	-0.671675021439149	-0.665509506851064	-0.736350634111915	-0.0638325567323404	-0.0388489187489362	0.138986043694681	-0.756871226595745	-0.71806249993617	-0.698206015106383	-0.132082352825532	-0.0546533175106383	-0.0659095906893617	-0.741573669829787	-0.776568042042553	-0.761165997978723	-0.580798325531915	-0.573912614042553	-0.580798325531915	-0.573912614042553	-0.679917192787234	-0.627546341702128	-0.653624960978723	-0.676691415510638	-0.770224987234043	-0.758625333085106	-0.648879273531915	-0.588758364234042	-0.631713038340426	-0.634732220425532	-0.59710826393617	-0.579004425208511	-0.2058816846	0.0354780856787234	0.0517637392851064	-0.687743756489362	-0.679778312234043	-0.718102482893617	-0.684968501104255	-0.673545127191489	-0.753426830255319	-0.00999405181489362	-0.198072163159574	-0.0861286994021277	-0.699099260519149	-0.718730308	-0.672999087042553	-0.777461589148936	-0.721174390623404	-0.736521805702128	0.00159852006382979	-0.0960279170978723	-0.0356098425787234	-0.589052583489362	-0.633808581931915	0.0551252514914894	-0.626453348076596	-0.631730591921277	0.174694564602128	-0.70064966512766	-0.719515077574468	-0.00518190650425532	-0.761842269531915	-0.771803440425532	0.119932055657447	0.0285800677744681	-0.089788057787234	0.122659788851064	0.110746494208511	-0.44602535	0.0284534125319149	-0.00139960500531915	47
1	STANDING	train	0.286638592641509	-0.0164759252188679	-0.118377741371698	-0.55847236990566	-0.46308551209434	-0.669195248924528	0.687682505490566	0.0567384673528302	0.0952867293735849	-0.97511375490566	-0.966264020377358	-0.941408300754717	0.0929071773207547	-0.0389653154588679	0.0104915510264151	-0.580325718716981	-0.534035190137736	-0.78339841754717	-0.0256561329679245	-0.0688034798773585	0.132308705575472	-0.715691597324528	-0.685757010886792	-0.637986312281132	-0.0808590021495472	-0.0402659943679245	-0.0849635312886793	-0.683267086301887	-0.753247378111321	-0.647655593620755	-0.519744369867925	-0.546065702490566	-0.519744369867925	-0.546065702490566	-0.606607771	-0.571993174415094	-0.604967205962264	-0.653491019962264	-0.718797887924528	-0.732795479811321	-0.573320323698113	-0.485234404377358	-0.70274702745283	-0.554687676037736	-0.486025332784906	-0.677997293564151	-0.154698925113208	0.0802746064679245	0.030543621100566	-0.598364358518868	-0.572818745802641	-0.767125437584906	-0.599731736603774	-0.523334684830189	-0.798124128113208	-0.0137750180377359	-0.218205737558491	-0.120449329066038	-0.659869588679245	-0.689203099811321	-0.603300445075472	-0.735174630226415	-0.688145245177359	-0.686497616603774	-0.0730849145381132	-0.121139368066038	0.0668547688867925	-0.539992884830189	-0.62151075909434	0.127599337208491	-0.557905636150943	-0.593940973250943	0.181582423258491	-0.677065707339623	-0.701073454320755	0.0336356953377358	-0.745554170622641	-0.735825795471698	0.106976293423208	0.00472969543811321	-0.062262692654717	-0.0844654487490566	-0.145557964909434	-0.537259670754717	0.00963477803773585	-0.0505873328243396	53
1	WALKING	train	0.285791056	-0.0189495099684211	-0.115373504993684	-0.577127418190526	-0.442823081556842	-0.551421470221053	0.690974582989474	0.03710778592	0.112599214567368	-0.970701825157895	-0.962520294736842	-0.945088520842105	0.0446622035768421	0.0529796644	-0.0231233222116842	-0.594005574010526	-0.546055301852632	-0.741641885768421	-0.0598951405842105	-0.0636539570778947	0.0991779325642105	-0.683680969315789	-0.552882575753684	-0.5894048414	-0.0936391162631579	-0.0358841168486316	-0.0553260633915789	-0.709769101442105	-0.726835323505684	-0.717750669052632	-0.501587571863158	-0.568119345227368	-0.501587571863158	-0.568119345227368	-0.601368745589474	-0.591101995431579	-0.508210155975789	-0.573161630831579	-0.715654053694737	-0.7447349972	-0.581274820992632	-0.472358284199368	-0.625265845115789	-0.577183726536842	-0.464530651910526	-0.551231050882105	-0.235565822997895	0.0111874742936842	0.0652126019054737	-0.610415787936842	-0.574060549347368	-0.722462772831579	-0.613985408557895	-0.546798807709474	-0.759697410778947	-0.0728398924073684	-0.243750528277895	-0.115475387073684	-0.650697180431579	-0.599003218084211	-0.578492708897895	-0.697149648063895	-0.534076544783158	-0.632021804263158	-0.127339448472632	-0.151982982727368	-0.0626213859831579	-0.548173235294737	-0.648965730084211	0.125321064672526	-0.573733890750526	-0.617507407665263	0.200833298348421	-0.630559716589474	-0.613491621721053	-0.0331251095684211	-0.740817376286316	-0.768131313010526	0.155796498981053	-0.0085913647691579	0.0239502342031579	0.0932448814473684	-0.0084322068968421	-0.512481254105263	0.0288133911452632	-0.065427482104579	95
1	WALKING_DOWNSTAIRS	train	0.278092633265306	-0.0174030044457143	-0.120141488755102	-0.582515285263857	-0.463960608612245	-0.631427778632653	0.805955123265306	-0.0793064822857143	0.0402164342338776	-0.970532831632653	-0.946830351836735	-0.924849148163265	0.0566064484489796	-0.0101352742097959	0.0357587848526327	-0.628253071328571	-0.59830443555102	-0.797453497346939	-0.0111324487510204	-0.0966836615795919	0.0642844784979592	-0.712629683265306	-0.702022562816327	-0.687421903081633	-0.062284115044898	-0.0639344394142857	-0.0577494460816326	-0.725807355918367	-0.828665830408163	-0.761430462244898	-0.525589167255102	-0.564950183312245	-0.525589167255102	-0.564950183312245	-0.654268361326531	-0.621936159081633	-0.605749317040816	-0.649204644795918	-0.784405174285714	-0.810615155102041	-0.598578269102041	-0.507918440163265	-0.699509998367347	-0.578177697055102	-0.477309819257143	-0.628772078571429	-0.217817062306122	0.00415279188979592	-0.00379705912244898	-0.640237308387755	-0.615003718857143	-0.778081178979592	-0.649668441816327	-0.607660392979592	-0.815499171428571	-0.0765575004897959	-0.242093006836735	-0.135909475295918	-0.675233374081633	-0.741673143038776	-0.66076726822449	-0.726515012244898	-0.68577985255102	-0.726305611020408	-0.139885027489796	-0.159965138781633	-0.0327349937746939	-0.570993160632653	-0.631747904489796	0.0519772305783673	-0.606851252077551	-0.645809119163265	0.159573728714286	-0.700732317959184	-0.679103486387755	-0.103712008387755	-0.807744894693877	-0.829019220204082	0.146482167387755	0.0388350950536735	0.0145378170265306	0.0962116367081633	-0.137127250529592	-0.611968017346939	0.120142914510204	-0.0087479858122449	49
1	WALKING_UPSTAIRS	train	0.272795097358491	-0.0125696114071698	-0.0977493100754717	-0.552659107830189	-0.356148975579245	-0.404966675364717	0.681589580396226	-0.0256577278301887	-0.053742837990566	-0.955558266037736	-0.934425762188679	-0.913959568490566	0.0485310450566038	0.00806426373528302	-0.00822284549113208	-0.592542136735849	-0.527259158679245	-0.700706756037736	-0.0183666134890566	-0.0757932049528302	0.0927095688226415	-0.697190504716981	-0.505137345568868	-0.455051745490566	-0.102085916127925	-0.0756591200469623	-0.0178112048566038	-0.711666972377358	-0.719282999528302	-0.611273627188679	-0.435133241687736	-0.469754714409434	-0.435133241687736	-0.469754714409434	-0.583939329183019	-0.568204559415094	-0.474788083303585	-0.520603958113208	-0.690394004320755	-0.720643461584906	-0.567868566264151	-0.427196113056604	-0.526225955849057	-0.548064414945283	-0.362916665973585	-0.390184209460189	-0.26909243049434	-0.0334708739830189	-0.093879049245283	-0.612038164	-0.558085524358491	-0.672797003396226	-0.608917457377358	-0.526780197303396	-0.727511215245283	-0.164642744264151	-0.303304708262264	-0.238882877249057	-0.650695165496226	-0.575289791018868	-0.460541897377358	-0.713864172075472	-0.472921635601887	-0.507253488	-0.168267622322642	-0.233258662271698	-0.108540123588679	-0.482058037207547	-0.546551464611321	0.00519266187698113	-0.564690884849057	-0.576426996735849	0.118688546669811	-0.571005238115094	-0.571549189056604	-0.0743607311188679	-0.720299513962264	-0.742485933018868	0.0837163647849057	0.0887778682037736	-0.0214419708320755	-0.0894072730377359	-0.0125465403377359	-0.486578546981132	0.0806755990188679	0.0525059204150943	53
2	LAYING	test	0.283258789583333	-0.0176785979693017	-0.113009643229167	-0.597543970166667	-0.484566285479167	-0.633581593479167	0.657504052708333	0.0699241391541667	0.11403705893125	-0.967807370416667	-0.956925889791667	-0.949443560625	0.0669101984020833	0.01796212591875	-0.00777426634160417	-0.621701948404167	-0.559030121895833	-0.74823904625	-0.036394241595625	-0.0628963943895833	0.0977797622708333	-0.698030009666667	-0.6399917081875	-0.604167028291667	-0.119671044708333	-0.023396789875	-0.0474440272083333	-0.707217763729167	-0.748073021229167	-0.683406898729167	-0.5437509845	-0.585557235625	-0.5437509845	-0.585557235625	-0.62689304511875	-0.592091459829792	-0.560650803291667	-0.634593149645833	-0.727632207041667	-0.743037859166667	-0.609482512645833	-0.504220280145833	-0.674397881270833	-0.594124690666667	-0.508498264591667	-0.641904442145833	-0.205299366072292	0.0449058439229167	0.0436661756208333	-0.644215926166667	-0.584677869916667	-0.73274509125	-0.633292408979167	-0.561999960479167	-0.762758490208333	-0.0663947624583333	-0.235349679166667	-0.12411804413125	-0.638960027854167	-0.6715782035	-0.597031968220833	-0.718818024291667	-0.627271449291667	-0.644670170625	-0.0861704485291667	-0.158786730270833	-0.039505305	-0.577144066145833	-0.6556905382375	0.0601966190270833	-0.5920994116875	-0.596564126604167	0.157768383572917	-0.6676907315	-0.679838314416667	-0.036492691045625	-0.747211255625	-0.757017839541667	0.101590279614583	-0.003244138955625	-0.0672596140625	-0.0189859711458333	0.108613069133333	-0.514219091666667	0.0127225950833333	-0.068378805036875	48
2	SITTING	test	0.289072353478261	-0.0210021580058696	-0.122815271130435	-0.666893998056522	-0.56157778573913	-0.690252999065217	0.657571379347826	-0.0865100443913044	0.0819267063108696	-0.972304997826087	-0.965201188913044	-0.937735854913043	0.0688331564652174	0.00594934735652174	0.00969455882065217	-0.673859375408696	-0.647833477521739	-0.787763623695652	-0.0478963284	-0.0545328124239131	0.0749448752913043	-0.769220834086957	-0.703142320543478	-0.640452946891304	-0.102506649652174	-0.0225474560543478	-0.0633653277217391	-0.772288886086957	-0.790837924434783	-0.74439168126087	-0.618709630065217	-0.641801020827739	-0.618709630065217	-0.641801020827739	-0.690491759065217	-0.65243881336087	-0.646021931173913	-0.700135767847826	-0.781806592608696	-0.783228707265217	-0.669700183652174	-0.592110312478261	-0.711747537565217	-0.667215251195652	-0.575238167078261	-0.704036659804348	-0.162784154136957	-0.00443559817391304	0.180431767063043	-0.689046271308696	-0.667945675804348	-0.76727640805	-0.687656385130435	-0.649781268391304	-0.806936948478261	-0.000824784139130433	-0.221624581173913	-0.0317119846180435	-0.719815854347826	-0.722026375	-0.641644434782609	-0.785847985130435	-0.696159071869565	-0.673891401934783	-0.113200265634783	-0.147479352267391	-0.103146478415217	-0.638618184434783	-0.701246341673913	0.0944732595391304	-0.650844314782609	-0.658406191521739	0.126227975478261	-0.719115212847826	-0.740872154217391	-0.0287442422956522	-0.787664007639565	-0.793471349295652	0.0743076869347826	-0.0839397495532609	0.0519006399173913	0.0812088956086957	-0.0445677558043478	-0.479559241956522	0.135882100152174	-0.0328324743884783	46
2	STANDING	test	0.272904319814815	-0.0233878136351852	-0.108094177555556	-0.611247655666667	-0.538517279925926	-0.56935111362963	0.616856724814815	-0.0593830780888889	0.117543584435185	-0.962893587407407	-0.953440424074074	-0.922956316296296	0.133512160518519	-0.010669650087037	0.018699303465	-0.618603808740741	-0.65329154937037	-0.753503773148148	-0.0823409769722222	-0.0906571900814815	0.11908729797037	-0.705605614814815	-0.676759079296296	-0.622610688255556	-0.107208891387407	-0.0312899512537037	-0.0636397091425926	-0.763332643074074	-0.78662183262963	-0.740521835314815	-0.549061991537037	-0.595170400888889	-0.549061991537037	-0.595170400888889	-0.6463880235	-0.626020176296296	-0.567017294944444	-0.660110549074074	-0.770487271944444	-0.786843282777778	-0.621472051962963	-0.583494563518518	-0.639668319259259	-0.608699471333333	-0.5471755005	-0.568337873055555	-0.255159624685185	-0.0209347389074074	0.0159593018364815	-0.647759397907407	-0.67346825212963	-0.734267837407407	-0.623514907148148	-0.655655530685185	-0.771536578518519	-0.131108675851852	-0.257716960888889	-0.224171426142593	-0.670027171277778	-0.696847223166667	-0.628858941592593	-0.71928182037037	-0.669930043333333	-0.658046506214815	-0.13962963137963	-0.187122942445185	-0.120912455403704	-0.589300682166667	-0.663327237203704	0.0550844346722222	-0.622670637592593	-0.633847746555556	0.0862236982767222	-0.70322707037037	-0.691895720722222	-0.0516939661314815	-0.786009801666667	-0.803660673333333	0.0983753475166667	0.00584960547962963	-0.0682260185814815	0.0264290581277778	0.0137325897388889	-0.462076812962963	0.122612939888889	-0.0896474230537037	54
2	WALKING	test	0.271561884576271	-0.0123790701711864	-0.110117291135593	-0.641707078645763	-0.51346367020339	-0.626883486288136	0.692728502033898	-0.0147820939152542	0.0328004499661017	-0.971977437627119	-0.952513892033898	-0.955831240847458	0.0903291366271187	0.0245817865844068	-0.026187020019661	-0.666696209830508	-0.610965840981356	-0.748625486	-0.0573627140932203	-0.0636258298135593	0.0732712901440678	-0.748319112711864	-0.699068249491525	-0.674393311949153	-0.112938883389831	-0.0482253755762712	-0.0567258553423729	-0.737269829372881	-0.752578032779661	-0.771470823118644	-0.573790114632203	-0.621768678830508	-0.573790114632203	-0.621768678830508	-0.660807895372881	-0.628641835	-0.638701492111864	-0.690477770576271	-0.75553425779661	-0.745565709237288	-0.650781448745763	-0.545047641949153	-0.663268676813559	-0.639554042452542	-0.530088702305085	-0.638562515418644	-0.230042216130508	-0.0338748007627119	0.0360568312084746	-0.683134373252542	-0.630707499525424	-0.732001193837288	-0.680321689915254	-0.61613909240678	-0.763878760508475	-0.0365253135254237	-0.205643236633559	-0.13462267968983	-0.694749799472881	-0.698967094372881	-0.674369846491525	-0.766704165932203	-0.703053510725424	-0.705776105254237	-0.0909822475644068	-0.080599742	-0.0783426216322034	-0.611126692091525	-0.688931753169492	0.049737712	-0.623811242254237	-0.6375557177	0.196651075374576	-0.703616380847458	-0.737516128474576	0.00210702015762712	-0.749341744627119	-0.758888491033898	0.123703252820847	0.0333796354183051	-0.0400501087457627	0.0352534349962712	0.0468223281040678	-0.512977145084746	0.0712730854067797	-0.0126373846355932	59
